year,salary,e2019
1990,33084,62569
1991,34063,62421
1992,35029,62247
1993,35737,61901
1994,36675,61756
1995,37642,61706
1996,38443,61271
1997,39350,61617
1998,40544,62407
1999,41807,62545
2000,43378,62746
2001,44655,63469
2002,45686,63538
2003,46542,63343
2004,47516,62779
2005,49086,62474
2006,51052,63339
2007,52800,63167
2008,54368,64147
2009,55370,64703
2010,55495,63573
2011,55871,62182
2012,56212,61537
2013,56826,61252
2014,57626,61666
2015,58316,61986
2016,59539,62143
2017,60477,61730
2018,61730,61730